"stage","category","dataset","group_id","sample_id","new_filename","source_relative_path","size_bytes"
"Stage1","DenoisingTriptych","PKU37","pku_0004","pku_0004_f50","Stage1_PKU37_pku_0004_pku_0004_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0004\pku_0004_f50\noisy_clean_denoised_triptych.png","2474712"
"Stage1","DenoisingTriptych","PKU37","pku_0005","pku_0005_f01","Stage1_PKU37_pku_0005_pku_0005_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0005\pku_0005_f01\noisy_clean_denoised_triptych.png","2519949"
"Stage1","DenoisingTriptych","PKU37","pku_0005","pku_0005_f25","Stage1_PKU37_pku_0005_pku_0005_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0005\pku_0005_f25\noisy_clean_denoised_triptych.png","2520214"
"Stage1","DenoisingTriptych","PKU37","pku_0005","pku_0005_f50","Stage1_PKU37_pku_0005_pku_0005_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0005\pku_0005_f50\noisy_clean_denoised_triptych.png","2519690"
"Stage1","DenoisingTriptych","PKU37","pku_0006","pku_0006_f01","Stage1_PKU37_pku_0006_pku_0006_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0006\pku_0006_f01\noisy_clean_denoised_triptych.png","2247338"
"Stage1","DenoisingTriptych","PKU37","pku_0006","pku_0006_f25","Stage1_PKU37_pku_0006_pku_0006_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0006\pku_0006_f25\noisy_clean_denoised_triptych.png","2242698"
"Stage1","DenoisingTriptych","PKU37","pku_0006","pku_0006_f50","Stage1_PKU37_pku_0006_pku_0006_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0006\pku_0006_f50\noisy_clean_denoised_triptych.png","2239734"
"Stage1","DenoisingTriptych","PKU37","pku_0007","pku_0007_f01","Stage1_PKU37_pku_0007_pku_0007_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0007\pku_0007_f01\noisy_clean_denoised_triptych.png","2293305"
"Stage1","DenoisingTriptych","PKU37","pku_0007","pku_0007_f25","Stage1_PKU37_pku_0007_pku_0007_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0007\pku_0007_f25\noisy_clean_denoised_triptych.png","2286182"
"Stage1","DenoisingTriptych","PKU37","pku_0007","pku_0007_f34","Stage1_PKU37_pku_0007_pku_0007_f34_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0007\pku_0007_f34\noisy_clean_denoised_triptych.png","2288022"
"Stage1","DenoisingTriptych","PKU37","pku_0008","pku_0008_f01","Stage1_PKU37_pku_0008_pku_0008_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0008\pku_0008_f01\noisy_clean_denoised_triptych.png","2288351"
"Stage1","DenoisingTriptych","PKU37","pku_0008","pku_0008_f25","Stage1_PKU37_pku_0008_pku_0008_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0008\pku_0008_f25\noisy_clean_denoised_triptych.png","2281202"
"Stage1","DenoisingTriptych","PKU37","pku_0008","pku_0008_f50","Stage1_PKU37_pku_0008_pku_0008_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0008\pku_0008_f50\noisy_clean_denoised_triptych.png","2288278"
"Stage1","DenoisingTriptych","PKU37","pku_0011","pku_0011_f01","Stage1_PKU37_pku_0011_pku_0011_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0011\pku_0011_f01\noisy_clean_denoised_triptych.png","2247774"
"Stage1","DenoisingTriptych","PKU37","pku_0011","pku_0011_f25","Stage1_PKU37_pku_0011_pku_0011_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0011\pku_0011_f25\noisy_clean_denoised_triptych.png","2242965"
"Stage1","DenoisingTriptych","PKU37","pku_0011","pku_0011_f50","Stage1_PKU37_pku_0011_pku_0011_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0011\pku_0011_f50\noisy_clean_denoised_triptych.png","2241429"
"Stage1","DenoisingTriptych","PKU37","pku_0012","pku_0012_f01","Stage1_PKU37_pku_0012_pku_0012_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0012\pku_0012_f01\noisy_clean_denoised_triptych.png","2283296"
"Stage1","DenoisingTriptych","PKU37","pku_0012","pku_0012_f25","Stage1_PKU37_pku_0012_pku_0012_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0012\pku_0012_f25\noisy_clean_denoised_triptych.png","2288207"
"Stage1","DenoisingTriptych","PKU37","pku_0012","pku_0012_f50","Stage1_PKU37_pku_0012_pku_0012_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0012\pku_0012_f50\noisy_clean_denoised_triptych.png","2284854"
"Stage1","DenoisingTriptych","PKU37","pku_0013","pku_0013_f01","Stage1_PKU37_pku_0013_pku_0013_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0013\pku_0013_f01\noisy_clean_denoised_triptych.png","2254861"
"Stage1","DenoisingTriptych","PKU37","pku_0013","pku_0013_f25","Stage1_PKU37_pku_0013_pku_0013_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0013\pku_0013_f25\noisy_clean_denoised_triptych.png","2255029"
"Stage1","DenoisingTriptych","PKU37","pku_0013","pku_0013_f37","Stage1_PKU37_pku_0013_pku_0013_f37_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0013\pku_0013_f37\noisy_clean_denoised_triptych.png","2254060"
"Stage1","DenoisingTriptych","PKU37","pku_0014","pku_0014_f01","Stage1_PKU37_pku_0014_pku_0014_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0014\pku_0014_f01\noisy_clean_denoised_triptych.png","2288461"
"Stage1","DenoisingTriptych","PKU37","pku_0014","pku_0014_f25","Stage1_PKU37_pku_0014_pku_0014_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0014\pku_0014_f25\noisy_clean_denoised_triptych.png","2289126"
"Stage1","DenoisingTriptych","PKU37","pku_0014","pku_0014_f50","Stage1_PKU37_pku_0014_pku_0014_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0014\pku_0014_f50\noisy_clean_denoised_triptych.png","2290490"
"Stage1","DenoisingTriptych","PKU37","pku_0015","pku_0015_f01","Stage1_PKU37_pku_0015_pku_0015_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0015\pku_0015_f01\noisy_clean_denoised_triptych.png","2263827"
"Stage1","DenoisingTriptych","PKU37","pku_0015","pku_0015_f25","Stage1_PKU37_pku_0015_pku_0015_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0015\pku_0015_f25\noisy_clean_denoised_triptych.png","2260565"
"Stage1","DenoisingTriptych","PKU37","pku_0015","pku_0015_f50","Stage1_PKU37_pku_0015_pku_0015_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0015\pku_0015_f50\noisy_clean_denoised_triptych.png","2260652"
"Stage1","DenoisingTriptych","PKU37","pku_0016","pku_0016_f01","Stage1_PKU37_pku_0016_pku_0016_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0016\pku_0016_f01\noisy_clean_denoised_triptych.png","2234811"
"Stage1","DenoisingTriptych","PKU37","pku_0016","pku_0016_f25","Stage1_PKU37_pku_0016_pku_0016_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0016\pku_0016_f25\noisy_clean_denoised_triptych.png","2232515"
"Stage1","DenoisingTriptych","PKU37","pku_0016","pku_0016_f50","Stage1_PKU37_pku_0016_pku_0016_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0016\pku_0016_f50\noisy_clean_denoised_triptych.png","2229630"
"Stage1","DenoisingTriptych","PKU37","pku_0017","pku_0017_f01","Stage1_PKU37_pku_0017_pku_0017_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0017\pku_0017_f01\noisy_clean_denoised_triptych.png","2344489"
"Stage1","DenoisingTriptych","PKU37","pku_0017","pku_0017_f25","Stage1_PKU37_pku_0017_pku_0017_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0017\pku_0017_f25\noisy_clean_denoised_triptych.png","2350643"
"Stage1","DenoisingTriptych","PKU37","pku_0017","pku_0017_f50","Stage1_PKU37_pku_0017_pku_0017_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0017\pku_0017_f50\noisy_clean_denoised_triptych.png","2344451"
"Stage1","DenoisingTriptych","PKU37","pku_0019","pku_0019_f01","Stage1_PKU37_pku_0019_pku_0019_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0019\pku_0019_f01\noisy_clean_denoised_triptych.png","2321563"
"Stage1","DenoisingTriptych","PKU37","pku_0019","pku_0019_f25","Stage1_PKU37_pku_0019_pku_0019_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0019\pku_0019_f25\noisy_clean_denoised_triptych.png","2326173"
"Stage1","DenoisingTriptych","PKU37","pku_0019","pku_0019_f50","Stage1_PKU37_pku_0019_pku_0019_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0019\pku_0019_f50\noisy_clean_denoised_triptych.png","2321303"
"Stage1","DenoisingTriptych","PKU37","pku_0020","pku_0020_f01","Stage1_PKU37_pku_0020_pku_0020_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0020\pku_0020_f01\noisy_clean_denoised_triptych.png","2315599"
"Stage1","DenoisingTriptych","PKU37","pku_0020","pku_0020_f25","Stage1_PKU37_pku_0020_pku_0020_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0020\pku_0020_f25\noisy_clean_denoised_triptych.png","2316970"
"Stage1","DenoisingTriptych","PKU37","pku_0020","pku_0020_f50","Stage1_PKU37_pku_0020_pku_0020_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0020\pku_0020_f50\noisy_clean_denoised_triptych.png","2309926"
"Stage1","DenoisingTriptych","PKU37","pku_0021","pku_0021_f01","Stage1_PKU37_pku_0021_pku_0021_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0021\pku_0021_f01\noisy_clean_denoised_triptych.png","2326751"
"Stage1","DenoisingTriptych","PKU37","pku_0021","pku_0021_f25","Stage1_PKU37_pku_0021_pku_0021_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0021\pku_0021_f25\noisy_clean_denoised_triptych.png","2322888"
"Stage1","DenoisingTriptych","PKU37","pku_0021","pku_0021_f50","Stage1_PKU37_pku_0021_pku_0021_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0021\pku_0021_f50\noisy_clean_denoised_triptych.png","2316673"
"Stage1","DenoisingTriptych","PKU37","pku_0022","pku_0022_f01","Stage1_PKU37_pku_0022_pku_0022_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0022\pku_0022_f01\noisy_clean_denoised_triptych.png","2374684"
"Stage1","DenoisingTriptych","PKU37","pku_0022","pku_0022_f25","Stage1_PKU37_pku_0022_pku_0022_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0022\pku_0022_f25\noisy_clean_denoised_triptych.png","2373385"
"Stage1","DenoisingTriptych","PKU37","pku_0022","pku_0022_f30","Stage1_PKU37_pku_0022_pku_0022_f30_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0022\pku_0022_f30\noisy_clean_denoised_triptych.png","2371528"
